muscle_group;exercise_name;tutorial
Ноги и Ягодицы;Приседания со штангой на спине;https://youtu.be/O84v0JI24dI?si=8FSrcb_-HrfUewDz
Ноги и Ягодицы;Приседания с гантелей;https://youtube.com/shorts/R6G_0vJYu0M?si=r7AzSfWNU8OA9ssC
Ноги и Ягодицы;Приседания в тренажере Смита (средняя постановка);https://youtu.be/rwhhu2qHnW4?si=EoS4tzFL3QT2umIo
Ноги и Ягодицы;Приседания в тренажере Смита (узкая постановка);https://youtu.be/UbLrNHPME24?si=mcqrijg9dfSNvHsj
Ноги и Ягодицы;Выпад назад в кроссовере;https://youtu.be/olDchB3hJaY?si=uKiCE22Y6UKdHGqW
Ноги и Ягодицы;Отведение ноги в сторону в кроссовере;https://youtu.be/M_U4bdHsj7k?si=vcmmIAfQyAxZD0x8
Ноги и Ягодицы;ВЫПАДЫ на месте со Штангой;https://youtu.be/mBwpL4GNE2Q?si=KU-rQytNW80wuKLd
Ноги и Ягодицы;Косые выпады назад со штангой;https://youtu.be/58Sqv6Lfnvg?si=JEiAhRnVx5M--GxR
Ноги и Ягодицы;Становая тяга (классика);https://youtube.com/shorts/x6UXKfbaRgU?si=Hhg2wXafD8s5-hi0
Ноги и Ягодицы;Становая тяга (сумо);https://youtube.com/shorts/j1EN68uZDI8?si=6SP5QH_8DNaljnud
Ноги и Ягодицы;Румынская тяга;https://youtu.be/eCHguRFpq5Y?si=U3FIceyF50H5RlNQ
Ноги и Ягодицы;Жим платформы ногами (узкая постановка);https://youtu.be/ChR44Ckw7mE?si=lFcGCa-f13fOPFEc
Ноги и Ягодицы;Жим платформы ногами (широкая постановка);https://youtu.be/m4HVXiWGWl8?si=mq01Q7NB-WEWTotT
Ноги и Ягодицы;Жим платформы одной ногой;https://youtu.be/7Nw3rRKTwAY?si=eELPhor2Ju_5WAB0
Ноги и Ягодицы;Разгибание ног в тренажёре сидя;https://youtu.be/1n1iyWDb7ds?si=yAVD80sQ9z_AAmg6
Ноги и Ягодицы;Сгибание ног в тренажёре лёжа;https://youtu.be/J18ujAAjwXg?si=lH1IvK5u-y4SijPH
Ноги и Ягодицы;Ягодичный мостик со штангой;https://youtu.be/OGYT-ioF3nY?si=41y0X1w7GFMfvqco
Ноги и Ягодицы;Ягодичный мостик в тренажёре;https://youtu.be/FBTHwsQ4HOw?si=FrD84osRob6gqqcx
Ноги и Ягодицы;Подъемы на носки стоя;https://youtu.be/zUShXqdXJbY?si=pNr7r4yzRWpOrG4v
Спина;Подтягивания (на спину);https://youtube.com/shorts/bow2BX0U49I?si=JWLPRsIYhQOgJuzX
Спина;Подтягивания в гравитроне;https://youtu.be/aDZ87Fe1CFQ?si=4O_qsEVM1b-QoyYH
Спина;Тяга верхнего блока к груди;https://youtu.be/1IUmfLyfzyw?si=XONwfZCWFuGNSUKU
Спина;Тяга нижнего блока к поясу сидя;https://youtube.com/shorts/j3k4DsTAgx8?si=k98rRdVH5gFnBnSu
Спина;Тяга гантели в наклоне одной рукой;https://youtube.com/shorts/HXvy2TQLL7E?si=zFaTJp9TNucskmlO
Спина;Тяга Т-грифа;https://youtube.com/shorts/z-wSKTUFjY4?si=2kUPv7ULrmjT2pqi
Спина;Гиперэкстензия;https://youtube.com/shorts/1SGDltWoJv4?si=3sReagczKiijBZgu
Спина;Шраги в тренажёре Смита;https://youtube.com/shorts/7lVFZ58kMow?si=cfLywD56urlY2cJ_
Спина;Шраги с гантелями сидя;https://youtu.be/U14mSbf3uEk?si=eysK-PP4CvxBYG2H
Спина;Жим гантелей сидя;https://youtu.be/gVoVKUmyXVQ?si=SNO6COCK0CVtj_M9
Грудь;Жим штанги лёжа;https://youtube.com/shorts/99BNLbWk1bA?si=-O6Hb7wes9Hk6iyK
Грудь;Жим гантелей лёжа;https://youtube.com/shorts/nJMlHnS7dDQ?si=auRlSKhOM8_J9gBB
Грудь;Жим гантелей на наклонной скамье;https://youtube.com/shorts/o0M00osJgRU?si=yTfczYs-nIeAANL7
Грудь;Разведение гантелей лёжа;https://youtu.be/tJzf4qQvfX4?si=sSe66Pm1Xy-mMxq7
Грудь;Сведение рук в тренажёре "бабочка";https://youtube.com/shorts/dGKL1KErih0?si=C71dUMulE19QqSNE
